Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
10/05/2007,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"1,502",1.19,,,
10/05/2007,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"7,569",2.14,,,
10/05/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,472",2.21,,,
10/05/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,"1,638",2.68,,,
10/05/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,146,1.32,0.79,1.98,
10/05/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,268",2.4,1.69,2.99,
10/05/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,613,2.1,0.99,2.99,
10/05/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,808,2.8,2.5,3,
10/05/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,342,1.41,0.99,1.99,
10/05/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"3,024",2.22,1.68,2.99,
10/05/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,369,2.28,2,2.79,
10/05/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,45,3,3,3,
10/05/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,21,1.49,1.49,1.49,
10/05/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,718,1.88,1.59,2.84,
10/05/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,363,2.16,1.5,2.5,
10/05/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,369,1.19,0.69,1.99,
10/05/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,260,1.98,0.99,2.99,
10/05/2007,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,119,2.79,2.5,2.79,
10/05/2007,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,72,2.81,2.5,2.97,
10/05/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,578,1.03,0.25,1.5,
10/05/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,952,1.72,0.99,2.49,
10/05/2007,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,713,2.5,2.5,2.5,
10/05/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,46,1.02,0.68,1.09,
10/05/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,347,1.53,0.99,1.99,
10/05/2007,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,8,1.49,1.49,1.49,
10/12/2007,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"3,105",1.6,,,
10/12/2007,NATIONAL,VEGETABLES,TOMATOES,,Y,,per pound,10,0.99,,,
10/12/2007,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"3,517",2.15,,,
10/12/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"2,944",2.17,,,
10/12/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,670,2.89,,,
10/12/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,737,1.57,0.88,1.99,
10/12/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,806,2.18,1.99,2.99,
10/12/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,259",2.24,1.49,3,
10/12/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,423,2.84,2.5,2.99,
10/12/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,"1,028",1.51,1.28,1.99,
10/12/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,424,2.13,1.28,2.99,
10/12/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,345",2.11,1.68,2.5,
10/12/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,247,2.97,2.5,2.99,
10/12/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,307,1.51,0.99,1.69,
10/12/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,484,1.8,1.39,2.99,
10/12/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,300,2.17,1.68,2.5,
10/12/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,153,1.48,0.78,1.99,
10/12/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,606,2.2,1.99,2.5,
10/12/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,660,1.76,0.88,1.99,
10/12/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,Y,,per pound,10,0.99,0.99,0.99,
10/12/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,861,2.38,1.59,2.5,
10/12/2007,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,20,1.58,0.99,1.98,
10/12/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,220,1.9,0.68,1.99,
10/12/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,336,1.89,0.98,2.49,
10/12/2007,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,20,2,2,2,
10/19/2007,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"1,586",1.43,,,
10/19/2007,NATIONAL,VEGETABLES,TOMATOES,,Y,,per pound,78,1.72,,,
10/19/2007,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"3,989",1.84,,,
10/19/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,718",2.43,,,
10/19/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,320,2.39,,,
10/19/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,191,1.76,0.98,1.99,
10/19/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,807,2.04,0.99,2.99,
10/19/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,751,2.54,2,2.88,
10/19/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,99,1.51,0.98,1.98,
10/19/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,855,1.98,0.89,2.49,
10/19/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,171,1.97,1.89,3,
10/19/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,197,2,2,2,
10/19/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,118,1.33,1.29,1.49,
10/19/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,,Y,,per pound,70,1.69,1.69,1.69,
10/19/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,366,1.56,0.99,1.99,
10/19/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,453,2.07,2,2.5,
10/19/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,75,3.02,2.5,3.99,
10/19/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,144,0.72,0.5,1,
10/19/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,874,1.68,0.97,2.49,
10/19/2007,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,48,2.98,2.98,2.98,
10/19/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,824,1.59,0.99,1.99,
10/19/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,Y,,per pound,8,1.98,1.98,1.98,
10/19/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,845,1.8,0.88,2.29,
10/19/2007,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,309,3,3,3,
10/19/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,210,1,0.97,1,
10/19/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,242,1.72,0.88,2.99,
10/19/2007,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,34,2,2,2,
10/26/2007,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"1,587",1.84,,,
10/26/2007,NATIONAL,VEGETABLES,TOMATOES,,Y,,per pound,211,2.5,,,
10/26/2007,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"4,041",2.15,,,
10/26/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,852,2.52,,,
10/26/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,933,2.65,,,
10/26/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,400,1.99,1.99,1.99,
10/26/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,Y,,per pound,211,2.5,2.5,2.5,
10/26/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,870,2.55,1.98,2.99,
10/26/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,450,2.47,1.48,2.5,
10/26/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,313,2.66,2.5,2.99,
10/26/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,759,2.01,1.49,2.69,
10/26/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"1,291",2.36,1.38,2.49,
10/26/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,296,2.66,2.5,2.88,
10/26/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,4,2.99,2.99,2.99,
10/26/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,201,1.5,1.5,1.5,
10/26/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,345,2.04,1.68,2.99,
10/26/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,83,2.2,2,2.5,
10/26/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,267,2.31,2,2.5,
10/26/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,68,0.84,0.78,0.99,
10/26/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,188,1.32,0.78,2.49,
10/26/2007,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,23,2.77,2,2.99,
10/26/2007,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,79,2.77,2.5,2.99,
10/26/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,53,1.89,1.89,1.89,
10/26/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,889,1.63,0.99,2.5,
10/26/2007,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,48,2.99,2.99,2.99,
10/26/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,106,1.23,0.99,1.49,
10/26/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,458,2.24,1,2.99,
10/26/2007,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,222,2.95,2.5,2.99,
11/02/2007,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,554,1.57,,,
11/02/2007,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"4,054",2.38,,,
11/02/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,025",2.3,,,
11/02/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,52,3.5,,,
11/02/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,38,1.67,0.98,1.99,
11/02/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"1,137",2.66,1.99,2.99,
11/02/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,620,2.33,2,2.5,
11/02/2007,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,26,3.5,3.5,3.5,
11/02/2007,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,023",2.32,1.28,2.99,
11/02/2007,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,44,2.33,1.99,2.5,
11/02/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,368,1.6,1.39,1.79,
11/02/2007,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,356,1.91,1.5,1.99,
11/02/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,343,2.21,1.5,2.5,
11/02/2007,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,26,3.49,3.49,3.49,
11/02/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,24,1.5,1.5,1.5,
11/02/2007,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,48,1.99,1.99,1.99,
11/02/2007,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,18,2.99,2.99,2.99,
11/02/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,100,1.49,1.39,1.5,
11/02/2007,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,477,2.35,0.5,2.49,
11/02/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,24,1.44,1.39,1.5,
11/02/2007,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,13,1.98,1.98,1.98,
11/09/2007,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,"2,295",1.93,,,
11/09/2007,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"4,197",2.3,,,
11/09/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"2,133",2.63,,,
11/09/2007,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,87,2.83,,,
11/09/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,969,2.16,0.99,2.99,
11/09/2007,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"1,841",2.49,1.98,2.99,
