Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,941,1.15,,,
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,,,per pound,253,2.05,,,
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,151,3.94,,,
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,425,1.77,,,
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,"1,713",1.8,,,
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"5,469",1.98,,,
10/07/2011,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,12,2.99,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, CHERRY",,,,1 pint package,29,2.5,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, CHERRY",,Y,,1 pint package,300,2.96,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,361,2.97,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,182,3,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,32,2.75,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,"4,129",1.22,,,
10/07/2011,NATIONAL,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,Y,,per pound,6,0.99,,,
10/07/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,41,1,0.88,1.29,
10/07/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,255,1.71,0.98,1.99,
10/07/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,197,1.91,1.5,1.99,
10/07/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,107",2.36,1.47,2.99,
10/07/2011,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,173,2.99,2.99,2.99,
10/07/2011,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,16,2.99,2.99,2.99,
10/07/2011,NORTHEAST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,732,1.49,0.99,1.79,
10/07/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,70,1.49,1.49,1.49,
10/07/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,151,1.99,1.99,1.99,
10/07/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,515,1.87,0.98,2.29,
10/07/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,975,1.9,1.28,2.49,
10/07/2011,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,124,3.07,2,3.29,
10/07/2011,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,393,1.01,0.97,1.49,
10/07/2011,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,220,1.65,0.69,1.99,
10/07/2011,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,,,per pound,16,2.99,2.99,2.99,
10/07/2011,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,9,0.98,0.98,0.98,
10/07/2011,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,367,1.62,0.97,1.69,
10/07/2011,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,790,1.54,0.99,2.49,
10/07/2011,MIDWEST U.S.,VEGETABLES,"TOMATOES, CHERRY",,,,1 pint package,29,2.5,2.5,2.5,
10/07/2011,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,49,2.49,2.49,2.5,
10/07/2011,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,16,2.5,2.5,2.5,
10/07/2011,MIDWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,497,1.25,0.68,1.88,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,255,0.99,0.34,1.79,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,122,3.99,3.99,3.99,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,231,1.52,0.89,1.99,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,10,0.77,0.77,0.77,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,499,1.82,1.25,2.49,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,12,2.99,2.99,2.99,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,663,1.1,0.69,1.29,
10/07/2011,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,Y,,per pound,6,0.99,0.99,0.99,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,334,0.92,0.33,1.49,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,,,per pound,237,1.99,1.99,1.99,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,8,2.99,2.99,2.99,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,403,1.98,1.49,1.99,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,659,1.9,0.67,1.99,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, CHERRY",,Y,,1 pint package,300,2.96,2.5,3,
10/07/2011,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,"1,200",1.09,0.33,1.69,
10/07/2011,NORTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,21,0.98,0.98,0.98,
10/07/2011,NORTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,21,3.98,3.98,3.98,
10/07/2011,NORTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,439,1.4,0.98,1.99,
10/07/2011,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,15,3.49,3.49,3.49,
10/07/2011,NORTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,182,3,3,3,
10/07/2011,NORTHWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,644,1.35,0.88,1.49,
10/14/2011,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,538,1.1,,,
10/14/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,229,3.74,,,
10/14/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,"2,889",1.71,,,
10/14/2011,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,349,2.13,,,
10/14/2011,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"4,428",1.91,,,
10/14/2011,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,44,2.99,,,
10/14/2011,NATIONAL,VEGETABLES,"TOMATOES, CHERRY",,,,1 pint package,39,1.91,,,
10/14/2011,NATIONAL,VEGETABLES,"TOMATOES, CHERRY",,Y,,1 pint package,19,2.51,,,
10/14/2011,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,200,2.4,,,
10/14/2011,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,16,2.98,,,
10/14/2011,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,220,2.99,,,
10/14/2011,NATIONAL,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,"2,085",1.14,,,
10/14/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,234,1.07,0.89,1.49,
10/14/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,434,1.93,0.98,2.99,
10/14/2011,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,037",2.21,1.29,2.99,
10/14/2011,NORTHEAST U.S.,VEGETABLES,"TOMATOES, CHERRY",,,,1 pint package,10,2,2,2,
10/14/2011,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,117,2.46,1.99,2.5,
10/14/2011,NORTHEAST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,183,1.12,0.98,1.49,
10/14/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,70,1.69,1.69,1.69,
10/14/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,70,1.35,0.98,1.47,
10/14/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,"1,489",1.58,1.29,2.69,
10/14/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,627,1.97,0.99,2.99,
10/14/2011,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,19,2.99,2.99,2.99,
