Date,Region,Class,Commodity,Variety,Organic,Environment,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price,% Marked Local
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,,,,per pound,766,1.16,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,,Y,,per pound,18,1.89,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,355,3.9,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,828,1.7,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,"1,238",1.73,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,Y,,per pound,484,2.68,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,VINE RIPES,Y,Greenhouse,per pound,340,2.33,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"8,549",1.49,,,
10/02/2015,NATIONAL,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,348,3.28,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, CHERRY",,,,1 pint package,143,2.47,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, CHERRY",,Y,,1 pint package,16,2.99,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,825",1.99,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,"2,256",2.01,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,946,2.61,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,10 oz package,23,2.34,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,"3,472",0.98,,,
10/02/2015,NATIONAL,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,Y,,per pound,7,1.99,,,
10/02/2015,NORTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,35,1.02,0.98,1.19,
10/02/2015,NORTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,99,1.61,1.49,1.97,
10/02/2015,NORTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,103,1.74,0.99,2.29,
10/02/2015,NORTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,Y,Greenhouse,per pound,16,2.49,2.49,2.49,
10/02/2015,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,226",1.96,0.99,2.99,
10/02/2015,NORTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,152,3.46,2.69,3.49,
10/02/2015,NORTHEAST U.S.,VEGETABLES,"TOMATOES, CHERRY",,,,1 pint package,143,2.47,1.99,2.5,
10/02/2015,NORTHEAST U.S.,VEGETABLES,"TOMATOES, CHERRY",,Y,,1 pint package,16,2.99,2.99,2.99,
10/02/2015,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,"1,017",1.93,0.99,2.5,
10/02/2015,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,25,2.6,2.5,3,
10/02/2015,NORTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,593,2.89,2.5,3.49,
10/02/2015,NORTHEAST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,564,1.06,0.88,1.49,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,TOMATOES,,,,per pound,105,1.02,0.78,1.48,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,102,1.2,0.88,1.48,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,398,1.85,0.98,2.29,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,TOMATOES,VINE RIPES,Y,Greenhouse,per pound,214,2.49,2.49,2.49,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,161",1.39,0.88,1.99,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,60,3.49,3.49,3.49,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,365,2.36,1.5,2.5,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,527,1.99,1.99,1.99,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,52,3.15,2.99,3.49,
10/02/2015,SOUTHEAST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,"1,597",0.98,0.87,1.69,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,170,1.46,0.99,1.99,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,3,3.59,3.59,3.59,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,96,1.03,0.69,1.49,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,374,1.63,1,1.99,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,Y,Greenhouse,per pound,110,1.99,1.99,1.99,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"2,052",1.19,0.78,1.99,
10/02/2015,MIDWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,8,2.99,2.99,2.99,
10/02/2015,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,239,1.98,0.99,2.5,
10/02/2015,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,779,2,1.99,2.5,
10/02/2015,MIDWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,1 pint package,55,2.56,1.49,2.99,
10/02/2015,MIDWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,268,1.25,0.79,1.79,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,,,,per pound,138,1.34,0.98,1.49,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,68,3.59,3.59,3.59,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,109,1.69,1.49,1.99,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,249,1.7,1.29,1.99,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,"1,037",1.27,0.77,1.99,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",Y,Greenhouse,per pound,121,2.99,2.99,2.99,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,122,1.58,1.5,1.98,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,345,1.97,1.49,2,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,Y,,10 oz package,5,1.98,1.98,1.98,
10/02/2015,SOUTH CENTRAL U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",ROMA,,,per pound,614,0.84,0.5,1.19,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,TOMATOES,,,,per pound,310,0.97,0.49,1.69,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPE - HEIRLOOM VARIETIES,Y,,per pound,5,3.59,3.59,3.59,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,,per pound,422,1.99,1.99,1.99,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,,Greenhouse,per pound,114,1.69,1.69,1.69,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,TOMATOES,VINE RIPES,Y,,per pound,484,2.68,1.99,2.99,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,TOMATOES,"VINE RIPES, ON THE VINE",,Greenhouse,per pound,362,1,0.69,1.99,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,1 pint package,70,1.61,1.5,2.5,
10/02/2015,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",,,,10 oz package,462,1.98,0.99,1.99,
