"week_start_date","avg_tmax","n_days"
2007-10-05,84.8571428571429,7
2007-10-12,78.5714285714286,7
2007-10-19,82.5714285714286,7
2007-10-26,84.1428571428571,7
2007-11-02,84.7142857142857,7
2007-11-09,77.5714285714286,7
2007-11-16,78.4285714285714,7
2007-11-23,64.5714285714286,7
2007-11-30,69.7142857142857,7
2007-12-07,55.2857142857143,7
2007-12-14,62.8571428571429,7
2007-12-21,57.2857142857143,7
2007-12-28,62.2857142857143,7
2008-01-04,62.2857142857143,7
2008-01-11,61.4285714285714,7
2008-01-18,60.5714285714286,7
2008-01-25,59.7142857142857,7
2008-02-01,60.2857142857143,7
2008-02-08,73,7
2008-02-15,62,7
2008-02-22,74.2857142857143,7
2008-02-29,68.8571428571429,7
2008-03-07,72.8571428571429,7
2008-03-14,67.7142857142857,7
2008-03-21,80.2857142857143,7
2008-03-28,76.8571428571429,7
2008-04-04,74,7
2008-04-11,81.1428571428571,7
2008-04-18,82.7142857142857,7
2008-04-25,84.4285714285714,7
2008-05-02,81.7142857142857,7
2008-05-09,83,7
2008-05-16,87,7
2008-05-23,81,7
2008-05-30,92.8571428571429,7
2008-06-06,93.8571428571429,7
2008-06-13,101.857142857143,7
2008-06-20,100.285714285714,7
2008-06-27,96.8571428571429,7
2008-07-04,88,7
2008-07-11,87.2857142857143,7
2008-07-18,87.4285714285714,7
2008-07-25,90,7
2008-08-01,92,7
2008-08-08,87.5714285714286,7
2008-08-15,91.7142857142857,7
2008-08-22,86,7
2008-08-29,88.5714285714286,7
2008-09-05,90,7
2008-09-12,86.2857142857143,7
2008-09-19,91.1428571428571,7
2008-09-26,88.5714285714286,7
2008-10-03,84.7142857142857,7
2008-10-10,77.7142857142857,7
2008-10-17,87.1428571428571,7
2008-10-24,86,7
2008-10-31,80,7
2008-11-07,71.5714285714286,7
2008-11-14,81.2857142857143,7
2008-11-21,75,6
2008-11-28,69.4285714285714,7
2008-12-05,66.5714285714286,7
2008-12-12,62.2857142857143,7
2008-12-19,62.8571428571429,7
2008-12-26,65.4285714285714,7
2009-01-02,61.8571428571429,7
2009-01-09,70,7
2009-01-16,74.7142857142857,7
2009-01-23,65.1428571428571,7
2009-01-30,74.1428571428571,7
2009-02-06,61.5714285714286,7
2009-02-13,65,7
2009-02-20,81.8571428571429,7
2009-02-27,82.8571428571429,7
2009-03-06,71.1428571428571,7
2009-03-13,77.1428571428571,7
2009-03-20,76,7
2009-03-27,73,7
2009-04-03,77.5714285714286,7
2009-04-10,71.1428571428571,7
2009-04-17,84.8571428571429,7
2009-04-24,83.5714285714286,7
2009-05-01,90.4285714285714,7
2009-05-08,94.5714285714286,7
2009-05-15,88.7142857142857,7
2009-05-22,88.1428571428571,7
2009-05-29,93.8571428571429,7
2009-06-05,88.2857142857143,7
2009-06-12,91.2857142857143,7
2009-06-19,93.8571428571429,7
2009-06-26,93.5714285714286,7
2009-07-03,94.5714285714286,7
2009-07-10,98.4285714285714,7
2009-07-17,95.4285714285714,7
2009-07-24,95,7
2009-07-31,99.8571428571429,7
2009-08-07,92.5714285714286,7
2009-08-14,95.5714285714286,7
2009-08-21,93.4285714285714,7
2009-08-28,94.7142857142857,7
2009-09-04,90.8,5
2009-09-11,89.8571428571429,7
2009-09-18,91,7
2009-09-25,93.4285714285714,7
2009-10-02,77.7142857142857,7
2009-10-09,82.4285714285714,7
2009-10-16,85.5714285714286,7
2009-10-23,75.2857142857143,7
2009-10-30,83,7
2009-11-06,81.5714285714286,7
2009-11-13,70.7142857142857,7
2009-11-20,74.1428571428571,7
2009-11-27,63,7
2009-12-04,59.8571428571429,7
2009-12-11,67.1428571428571,7
2009-12-18,64,7
2009-12-25,59.1428571428571,7
2010-01-01,71.6666666666667,6
2010-01-08,67.8571428571429,7
2010-01-15,63.4285714285714,7
2010-01-22,56.7142857142857,7
